EmployeeID,Age,Gender,Department,JobRole,EducationField,MonthlyIncome,YearsAtCompany,TotalWorkingYears,JobSatisfaction,WorkLifeBalance,Attrition
104,47,Female,Marketing,Marketing Executive,Marketing,153279,20,21,4,3,Yes
105,36,Male,IT,IT Manager,Life Sciences,121294,11,11,3,1,No
106,34,Male,IT,Developer,Medical,30598,10,14,1,3,No
107,56,Male,HR,HR Executive,Technical Degree,81610,6,24,2,3,No
108,55,Female,HR,HR Executive,Marketing,70743,8,33,1,1,Yes
109,22,Male,Operations,Operations Manager,Human Resources,38736,0,1,2,4,No
110,53,Female,IT,BI Analyst,Human Resources,143490,18,21,2,1,No
111,24,Female,Marketing,Marketing Executive,Life Sciences,136745,3,4,1,4,No
112,59,Female,Sales,Sales Manager,Human Resources,58080,4,8,3,3,No
113,27,Male,Operations,Operations Manager,Human Resources,169529,1,7,2,4,No
114,46,Female,Finance,Finance Manager,Technical Degree,49926,13,24,3,4,No
115,25,Female,HR,HR Manager,Marketing,49439,0,0,4,1,No
116,58,Female,Operations,Operations Executive,Finance,111414,17,34,1,4,No
117,59,Male,Sales,Sales Manager,Life Sciences,52158,9,20,2,2,No
118,28,Female,Finance,Finance Manager,Life Sciences,84286,4,8,4,1,No
119,40,Female,HR,HR Manager,Life Sciences,26600,10,15,2,2,No
120,26,Female,HR,HR Executive,Technical Degree,123617,5,5,4,4,No
121,57,Male,Marketing,Marketing Manager,Finance,38791,19,21,2,2,No
122,49,Male,Sales,Sales Manager,Technical Degree,140879,13,28,4,3,No
123,39,Male,IT,Developer,Life Sciences,163132,18,19,3,1,No
124,34,Female,HR,HR Manager,Finance,91982,12,12,3,3,Yes
125,29,Male,IT,Data Analyst,Human Resources,156140,6,7,3,1,No
126,25,Female,Sales,Sales Manager,Life Sciences,175313,2,5,4,4,No
127,60,Female,Finance,Analyst,Medical,48102,14,25,4,1,No
128,40,Male,Sales,Sales Manager,Medical,112311,10,13,2,1,No
129,43,Male,Operations,Operations Executive,Marketing,63716,11,22,2,1,Yes
130,25,Female,Operations,Operations Executive,Marketing,146622,1,4,4,3,No
131,51,Female,IT,Developer,Human Resources,97004,14,23,1,3,No
132,24,Male,IT,Developer,Human Resources,45114,2,3,1,4,No
133,41,Female,Operations,Operations Executive,Finance,156430,19,20,2,1,No
134,23,Female,Sales,Sales Executive,Human Resources,139755,1,3,4,2,No
135,59,Female,IT,BI Analyst,Technical Degree,42278,1,22,3,1,No
136,42,Female,Finance,Analyst,Marketing,62074,2,20,3,3,No
137,40,Female,Operations,Operations Executive,Medical,111108,17,20,2,1,No
138,44,Male,Finance,Analyst,Marketing,81149,9,14,3,4,No
139,27,Male,Sales,Sales Manager,Finance,59353,0,5,4,2,Yes
140,47,Male,IT,Developer,Technical Degree,141444,11,18,3,4,No
141,44,Female,IT,Data Analyst,Marketing,146026,18,21,3,4,No
142,37,Male,HR,HR Executive,Technical Degree,122311,1,16,1,1,Yes
143,48,Female,IT,Data Analyst,Medical,143260,2,9,3,1,No
144,45,Female,Finance,Analyst,Marketing,83861,2,13,1,3,No
145,39,Male,HR,HR Executive,Technical Degree,147974,15,16,4,1,No
146,56,Male,HR,HR Executive,Life Sciences,135953,19,35,1,3,No
147,60,Male,HR,HR Manager,Finance,54060,14,16,4,1,No
148,48,Male,HR,HR Manager,Medical,117488,0,19,2,4,Yes
149,54,Male,Finance,Analyst,Finance,158070,17,33,1,4,No
150,37,Male,IT,BI Analyst,Medical,42710,0,11,3,2,No
151,29,Female,Marketing,Marketing Manager,Finance,168134,0,5,3,2,No
152,29,Male,IT,Data Analyst,Life Sciences,34695,1,8,3,2,Yes
153,53,Male,Finance,Finance Manager,Technical Degree,149098,12,29,3,1,No
154,42,Female,Finance,Analyst,Technical Degree,121474,8,9,4,4,No
155,52,Male,HR,HR Manager,Medical,94919,11,27,1,4,Yes
156,27,Female,Finance,Finance Manager,Marketing,102500,1,3,3,4,No
157,43,Male,Marketing,Marketing Manager,Life Sciences,117421,14,14,4,3,No
158,44,Male,Marketing,Marketing Manager,Marketing,33163,16,18,2,4,Yes
159,44,Female,Marketing,Marketing Manager,Human Resources,33489,12,21,2,4,No
160,54,Male,Sales,Sales Executive,Finance,107414,11,23,3,2,No
161,54,Male,HR,HR Manager,Medical,55870,12,29,3,3,No
162,33,Female,Finance,Finance Manager,Life Sciences,44412,1,3,4,2,No
163,43,Male,Marketing,Marketing Manager,Technical Degree,167126,2,19,3,3,No
164,28,Female,Operations,Operations Executive,Human Resources,87058,3,4,4,1,No
165,60,Female,Operations,Operations Executive,Medical,106078,2,6,4,4,No
166,41,Male,Sales,Sales Executive,Marketing,142958,20,20,4,3,No
167,28,Male,IT,Developer,Technical Degree,104724,8,8,2,2,No
168,26,Male,Operations,Operations Manager,Medical,169399,2,3,3,2,No
169,58,Male,Marketing,Marketing Executive,Life Sciences,69879,18,22,3,1,No
170,34,Female,Sales,Sales Manager,Finance,134205,12,14,1,4,No
171,36,Female,Finance,Finance Manager,Human Resources,143893,12,14,1,1,Yes
172,42,Male,IT,Data Analyst,Technical Degree,106941,19,20,3,3,No
173,41,Male,Operations,Operations Executive,Life Sciences,57118,7,14,3,4,No
174,60,Male,Finance,Finance Manager,Human Resources,66864,13,20,3,3,No
175,52,Male,Operations,Operations Manager,Marketing,31075,9,24,1,4,No
176,24,Male,Operations,Operations Manager,Human Resources,154733,0,2,4,3,No
177,44,Male,HR,HR Manager,Technical Degree,36860,12,17,4,1,No
178,25,Male,Operations,Operations Manager,Human Resources,143057,3,5,3,1,No
179,56,Male,Finance,Finance Manager,Life Sciences,62818,11,35,2,4,No
180,51,Female,HR,HR Manager,Marketing,64043,16,30,2,3,No
181,58,Male,IT,BI Analyst,Technical Degree,158618,10,26,4,3,No
182,47,Male,Finance,Analyst,Finance,31985,18,22,4,3,No
183,31,Male,Sales,Sales Manager,Marketing,63738,8,11,2,1,No
184,41,Female,Sales,Sales Manager,Finance,133255,13,15,2,4,No
185,29,Female,Marketing,Marketing Executive,Marketing,172033,8,8,3,4,No
186,55,Female,IT,BI Analyst,Medical,94300,11,32,4,2,No
187,40,Female,Finance,Analyst,Technical Degree,79336,9,20,4,3,No
188,46,Male,Sales,Sales Manager,Technical Degree,101140,11,15,1,3,No
189,51,Male,IT,BI Analyst,Marketing,166184,6,12,3,3,No
190,35,Male,Sales,Sales Executive,Life Sciences,133344,1,2,3,4,Yes
191,47,Male,Operations,Operations Executive,Life Sciences,150160,20,27,2,3,No
192,55,Female,Marketing,Marketing Executive,Human Resources,134546,1,12,2,1,No
193,23,Female,HR,HR Manager,Marketing,173887,0,2,1,3,Yes
194,38,Female,Operations,Operations Manager,Finance,54529,6,18,3,2,No
195,42,Female,HR,HR Executive,Life Sciences,75636,9,18,2,4,No
196,32,Male,IT,Developer,Human Resources,109830,2,9,2,1,No
197,40,Male,Finance,Finance Manager,Life Sciences,175176,18,20,1,3,No
198,50,Female,Marketing,Marketing Executive,Technical Degree,131277,9,14,3,1,No
199,35,Female,Operations,Operations Executive,Medical,65156,4,11,4,3,No
200,36,Male,Marketing,Marketing Executive,Life Sciences,142112,2,10,3,1,No
201,57,Male,Operations,Operations Executive,Finance,68132,17,21,3,4,Yes
202,26,Female,Operations,Operations Manager,Medical,39584,4,5,4,2,No
203,40,Male,Sales,Sales Manager,Human Resources,91704,0,12,1,2,No
204,55,Male,Finance,Analyst,Finance,148750,1,5,1,3,No
205,44,Male,Marketing,Marketing Manager,Finance,123958,12,19,4,1,No
206,32,Male,Finance,Analyst,Technical Degree,163632,8,11,2,2,No
207,55,Male,IT,IT Manager,Finance,89883,12,19,4,3,No
208,47,Male,Sales,Sales Executive,Human Resources,88089,19,19,2,1,Yes
209,36,Male,Operations,Operations Executive,Marketing,140071,1,13,2,2,No
210,35,Male,Operations,Operations Manager,Human Resources,109060,10,14,2,3,No
211,24,Female,Finance,Finance Manager,Medical,136988,4,4,4,1,No
212,47,Male,Finance,Finance Manager,Technical Degree,123686,4,13,2,4,No
213,50,Female,Marketing,Marketing Executive,Marketing,133180,1,18,4,2,No
214,49,Male,Finance,Analyst,Life Sciences,165413,11,13,2,1,No
215,51,Male,HR,HR Executive,Finance,104478,6,16,1,2,No
216,59,Female,IT,Data Analyst,Technical Degree,87739,6,18,3,3,No
217,53,Female,Finance,Finance Manager,Technical Degree,50849,15,29,4,3,No
218,57,Female,IT,Developer,Technical Degree,63252,7,30,1,3,No
219,42,Female,HR,HR Executive,Technical Degree,174366,7,19,2,4,No
220,50,Female,IT,IT Manager,Marketing,117320,5,28,2,2,No
221,54,Male,Operations,Operations Executive,Life Sciences,37717,1,5,1,4,Yes
222,21,Male,Marketing,Marketing Executive,Life Sciences,122832,0,1,1,4,No
223,21,Female,Operations,Operations Manager,Marketing,165440,0,1,3,1,No
224,54,Female,Sales,Sales Executive,Life Sciences,75313,4,11,3,3,No
225,50,Male,Finance,Finance Manager,Life Sciences,84207,18,21,3,1,No
226,45,Female,IT,IT Manager,Finance,39710,17,24,1,2,Yes
227,54,Male,Finance,Analyst,Finance,80421,1,15,4,3,Yes
228,32,Female,Finance,Analyst,Marketing,79305,5,5,2,4,No
229,57,Male,Operations,Operations Executive,Finance,166705,12,33,3,4,No
230,53,Female,Marketing,Marketing Executive,Medical,50607,11,12,4,2,No
231,41,Female,Operations,Operations Manager,Human Resources,96651,0,20,4,4,No
232,26,Female,HR,HR Manager,Finance,89605,6,6,1,1,No
233,45,Female,Marketing,Marketing Executive,Technical Degree,52931,10,21,1,1,No
234,29,Male,Finance,Analyst,Technical Degree,137978,1,3,4,4,Yes
235,59,Male,Operations,Operations Executive,Finance,125987,19,29,1,3,No
236,57,Female,Operations,Operations Executive,Human Resources,124806,16,21,2,2,No
237,31,Female,HR,HR Executive,Technical Degree,135389,6,8,3,4,No
238,59,Female,HR,HR Manager,Technical Degree,145025,19,25,1,2,No
239,42,Male,Operations,Operations Manager,Human Resources,137883,14,19,2,3,No
240,46,Female,Finance,Analyst,Technical Degree,153714,10,19,2,3,No
241,58,Male,Sales,Sales Executive,Human Resources,169205,17,22,1,4,No
242,47,Female,Finance,Analyst,Human Resources,104385,15,17,2,3,No
243,59,Female,Sales,Sales Manager,Finance,130068,15,33,4,1,No
244,27,Female,Operations,Operations Executive,Human Resources,68604,3,5,1,4,No
245,27,Female,Sales,Sales Executive,Finance,158870,4,5,2,4,No
246,43,Male,Operations,Operations Executive,Life Sciences,52406,0,15,3,4,No
247,43,Male,Marketing,Marketing Executive,Human Resources,144362,9,14,2,4,No
248,41,Male,Marketing,Marketing Manager,Finance,36713,2,11,1,1,No
249,54,Male,HR,HR Executive,Human Resources,66978,5,22,3,4,No
250,32,Male,Marketing,Marketing Executive,Human Resources,138281,10,12,4,1,No
251,45,Male,Operations,Operations Manager,Medical,81307,0,22,2,3,No
252,44,Female,Sales,Sales Executive,Medical,144944,10,13,1,3,No
253,59,Female,Marketing,Marketing Manager,Medical,127903,12,31,1,3,No
254,60,Male,HR,HR Manager,Marketing,60113,18,20,3,1,No
255,53,Male,Finance,Analyst,Medical,61141,12,25,4,4,No
256,39,Male,HR,HR Manager,Human Resources,107465,4,9,4,1,No
257,45,Female,HR,HR Executive,Human Resources,154753,17,25,4,4,No
258,57,Female,HR,HR Executive,Marketing,101569,0,14,1,3,Yes
259,56,Female,IT,IT Manager,Medical,175133,16,19,1,3,No
260,55,Male,Sales,Sales Manager,Human Resources,51847,6,19,2,3,No
261,26,Female,Finance,Finance Manager,Marketing,87113,3,3,2,3,No
262,34,Male,Operations,Operations Executive,Technical Degree,40560,13,13,3,3,No
263,39,Female,Marketing,Marketing Manager,Life Sciences,159850,18,19,1,2,No
264,29,Female,Finance,Analyst,Finance,109435,3,4,2,4,No
265,49,Female,IT,IT Manager,Human Resources,49404,2,22,4,3,No
266,58,Female,IT,BI Analyst,Marketing,145179,0,5,3,1,No
267,52,Female,IT,Data Analyst,Technical Degree,99342,8,18,3,2,No
268,23,Male,Marketing,Marketing Executive,Human Resources,29268,0,3,1,2,No
269,40,Male,HR,HR Executive,Life Sciences,49468,5,13,3,3,Yes
270,35,Male,IT,BI Analyst,Marketing,48907,13,15,1,1,Yes
271,54,Female,Operations,Operations Executive,Finance,27113,14,14,3,1,No
272,25,Female,HR,HR Manager,Marketing,48417,1,4,1,1,No
273,30,Male,IT,Data Analyst,Finance,172663,1,9,1,2,No
274,47,Male,Marketing,Marketing Executive,Medical,81949,19,26,1,1,Yes
275,43,Male,Marketing,Marketing Manager,Medical,61655,13,18,2,3,No
276,22,Male,Operations,Operations Manager,Marketing,78856,2,2,2,4,No
277,28,Male,IT,IT Manager,Human Resources,43615,3,6,1,3,No
278,44,Male,Operations,Operations Manager,Technical Degree,148473,17,19,1,1,No
279,24,Male,HR,HR Executive,Finance,156346,3,4,4,4,No
280,38,Female,Operations,Operations Executive,Medical,45715,2,11,2,2,No
281,40,Male,Marketing,Marketing Executive,Human Resources,40179,13,16,2,1,No
282,40,Female,Operations,Operations Executive,Medical,28320,5,8,2,1,Yes
283,31,Female,Operations,Operations Manager,Technical Degree,95454,5,6,1,1,No
284,37,Male,Operations,Operations Executive,Technical Degree,144327,2,17,3,1,No
285,27,Male,HR,HR Manager,Marketing,158385,1,2,1,1,No
286,44,Male,Sales,Sales Manager,Human Resources,71913,12,14,1,4,No
287,38,Male,Marketing,Marketing Manager,Human Resources,56300,2,13,1,2,No
288,39,Female,Sales,Sales Manager,Medical,47645,9,14,4,1,No
289,50,Female,Finance,Analyst,Life Sciences,154331,11,29,2,2,Yes
290,21,Male,HR,HR Manager,Human Resources,123638,1,1,3,1,No
291,30,Female,IT,Developer,Human Resources,36508,4,4,2,4,No
292,58,Male,Marketing,Marketing Executive,Human Resources,59999,3,35,4,1,No
293,36,Female,Marketing,Marketing Executive,Marketing,107577,9,13,4,3,No
294,29,Female,Sales,Sales Executive,Human Resources,65739,9,9,1,2,No
295,34,Female,Sales,Sales Manager,Finance,146463,7,11,3,1,Yes
296,34,Female,Marketing,Marketing Executive,Medical,63882,13,14,1,2,No
297,37,Male,Sales,Sales Manager,Marketing,131008,5,5,4,2,Yes
298,24,Male,Sales,Sales Executive,Medical,76939,1,2,4,3,No
299,25,Female,Operations,Operations Manager,Life Sciences,76839,0,0,4,2,Yes
300,24,Female,Sales,Sales Manager,Marketing,128546,1,4,4,1,No
301,32,Male,Finance,Analyst,Finance,141919,4,8,2,1,No
302,47,Female,Finance,Finance Manager,Marketing,40985,17,24,1,3,No
303,55,Female,Marketing,Marketing Executive,Human Resources,119139,0,24,4,4,No
304,22,Female,Finance,Analyst,Medical,32681,1,1,3,1,No
305,31,Male,Finance,Analyst,Medical,88216,1,4,3,1,No
306,32,Female,IT,BI Analyst,Medical,108362,2,5,3,1,No
307,57,Male,Operations,Operations Executive,Life Sciences,154034,6,32,3,2,No
308,22,Female,HR,HR Executive,Finance,25179,2,2,3,2,No
309,24,Female,HR,HR Manager,Life Sciences,178776,0,1,2,1,No
310,58,Female,Finance,Finance Manager,Finance,104105,3,24,3,2,No
311,32,Female,IT,BI Analyst,Marketing,83520,11,12,2,4,No
312,57,Male,HR,HR Executive,Finance,33488,12,30,2,3,No
313,52,Male,Operations,Operations Executive,Finance,45396,4,14,2,3,No
314,49,Male,Sales,Sales Manager,Finance,79967,0,8,2,1,No
315,45,Female,Sales,Sales Executive,Technical Degree,135009,14,25,2,4,No
316,27,Male,Operations,Operations Manager,Technical Degree,67639,7,7,4,1,No
317,37,Male,Sales,Sales Manager,Medical,114602,3,4,2,4,Yes
318,59,Female,Sales,Sales Manager,Marketing,33124,19,34,4,2,No
319,42,Male,Sales,Sales Executive,Life Sciences,132290,6,12,3,3,No
320,30,Female,IT,IT Manager,Marketing,26000,0,5,4,1,No
321,34,Female,Sales,Sales Executive,Human Resources,101496,2,12,1,4,No
322,37,Female,IT,IT Manager,Life Sciences,73465,2,14,3,4,No
323,50,Male,Finance,Finance Manager,Life Sciences,95401,8,15,1,2,No
324,55,Female,Marketing,Marketing Manager,Medical,84641,13,31,1,4,No
325,57,Male,Marketing,Marketing Manager,Medical,103342,7,22,1,4,No
326,28,Female,Operations,Operations Executive,Life Sciences,68821,7,7,2,2,Yes
327,33,Female,Marketing,Marketing Manager,Medical,92603,13,13,3,1,Yes
328,54,Male,Finance,Finance Manager,Medical,179029,14,14,4,1,No
329,27,Female,Operations,Operations Executive,Medical,99997,1,7,3,4,No
330,23,Female,Operations,Operations Manager,Finance,130637,1,2,2,4,Yes
331,51,Female,HR,HR Executive,Finance,30303,8,19,3,3,No
332,35,Male,Marketing,Marketing Executive,Marketing,141158,4,8,3,3,No
333,47,Male,IT,Data Analyst,Life Sciences,160397,15,27,3,1,No
334,29,Male,Finance,Finance Manager,Life Sciences,70544,8,8,2,2,No
335,44,Male,IT,Developer,Finance,121561,6,14,4,4,No
336,44,Female,Sales,Sales Executive,Technical Degree,141943,15,24,2,4,No
337,26,Male,HR,HR Manager,Marketing,126335,2,2,1,2,No
338,34,Male,Marketing,Marketing Executive,Finance,132349,4,14,1,1,No
339,35,Female,HR,HR Executive,Technical Degree,97188,8,12,4,4,No
340,40,Female,HR,HR Manager,Medical,129111,16,20,1,1,No
341,40,Female,Marketing,Marketing Manager,Technical Degree,41734,3,18,3,3,No
342,33,Male,Marketing,Marketing Manager,Finance,87993,2,10,1,4,No
343,39,Male,Sales,Sales Manager,Technical Degree,131063,8,14,4,1,No
344,55,Male,Marketing,Marketing Executive,Technical Degree,118977,20,35,3,2,No
345,29,Male,Sales,Sales Manager,Technical Degree,171546,4,9,2,3,No
346,47,Female,HR,HR Manager,Life Sciences,93304,10,21,3,4,No
347,51,Male,Marketing,Marketing Executive,Marketing,56409,6,22,4,3,No
348,47,Female,HR,HR Manager,Technical Degree,62545,18,25,3,2,No
349,41,Male,Marketing,Marketing Executive,Medical,26235,20,20,4,3,No
350,26,Female,HR,HR Manager,Human Resources,138694,1,5,4,4,No
351,55,Male,Sales,Sales Executive,Life Sciences,122806,6,29,1,3,No
352,36,Female,Marketing,Marketing Executive,Marketing,106813,7,12,2,1,No
353,40,Male,Sales,Sales Executive,Technical Degree,161390,9,16,3,4,No
354,33,Male,IT,BI Analyst,Marketing,30013,2,8,2,2,No
355,58,Female,Marketing,Marketing Executive,Medical,57286,16,21,3,1,No
356,59,Female,Operations,Operations Executive,Life Sciences,30175,1,7,1,1,No
357,51,Female,Operations,Operations Manager,Medical,27439,4,10,3,4,No
358,47,Female,Operations,Operations Executive,Marketing,55863,3,19,3,1,No
359,37,Female,Operations,Operations Executive,Marketing,118827,16,16,4,3,No
360,42,Female,Marketing,Marketing Manager,Marketing,28342,7,7,1,1,No
361,27,Male,Sales,Sales Executive,Marketing,144734,4,5,3,3,No
362,44,Male,Sales,Sales Manager,Finance,55382,10,16,1,1,Yes
363,42,Male,Marketing,Marketing Executive,Life Sciences,95335,11,18,1,3,No
364,50,Male,IT,IT Manager,Marketing,150369,8,20,4,2,Yes
365,58,Male,Sales,Sales Manager,Finance,139861,15,33,2,4,No
366,51,Female,Marketing,Marketing Executive,Life Sciences,132815,15,18,4,1,Yes
367,42,Female,Marketing,Marketing Executive,Marketing,49967,16,20,4,2,No
368,21,Female,Operations,Operations Executive,Marketing,154980,0,1,2,1,No
369,24,Male,Finance,Finance Manager,Human Resources,169309,4,4,4,4,No
370,26,Male,IT,IT Manager,Life Sciences,142196,6,6,3,1,No
371,23,Female,IT,IT Manager,Life Sciences,104848,0,0,2,4,No
372,42,Male,HR,HR Manager,Life Sciences,149029,17,21,3,4,Yes
373,39,Female,Finance,Finance Manager,Marketing,123013,17,19,1,1,No
374,27,Male,Marketing,Marketing Manager,Finance,74163,4,5,1,4,Yes
375,47,Male,Finance,Analyst,Human Resources,179353,1,21,1,4,No
376,56,Male,Sales,Sales Executive,Life Sciences,151597,13,31,2,2,No
377,53,Female,IT,BI Analyst,Human Resources,90074,12,25,3,4,No
378,47,Female,HR,HR Executive,Finance,103358,19,27,3,2,No
379,32,Female,Finance,Analyst,Finance,109510,8,12,1,3,No
380,48,Male,Marketing,Marketing Manager,Marketing,52910,0,16,1,4,Yes
381,39,Male,Finance,Analyst,Technical Degree,41261,8,10,3,2,No
